"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C4","2","ECEA1AKS220B","capacitor 22uF:CAPPRD500W45D500H500",""
"2","C2, C7","2","EEAGA1E100","capacitor 22uF:CAPPRD500W45D500H500",""
"3","C3, C5, C6, C8, C9","5","ECWFE2W104P5","capacitor 0.1uF:CAPRR1500W60L1750T500H1050",""
"4","D1","1","IR26-21C_L110_TR8","LED_SMD:LED_1206_3216Metric",""
"5","D2, D4","2","LESD5D5.0CT1G","LESD5D5.0CT1G diodo:TVS_LESD5D5.0CT1G",""
"6","D3","1","BAT760-7","BAT760-7 diodo:SOD2513X120N",""
"7","J1","1","1050170001","MOLEX MOLEX 10501700001 (microusb):MOLEX_1050170001",""
"8","Q1, Q2","2","SS8050-G","Transistor NPN SS8050-G:TRANS_SS8050-G",""
"9","R1","1","2K","",""
"10","R2, R3, R7, R8","4","10K","",""
"11","R4","1","R","",""
"12","R5","1","47.5K","",""
"13","R6","1","22.1K","",""
"14","R9","1","o","",""
"15","R10","1","0","",""
"16","SW1, SW2","2","SW_Push","",""
"17","U1","1","ESP32-WROOM-32","esp32-wroom32:MODULE_ESP32-WROOM-32",""
"18","U2","1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"19","U3","1","CP2102N-A02-GQFN28","CP2102N-A02-GQFN28 (USB-Seriale):QFN50P500X500X80-29N",""
